date,bdi,bdi_1m_change,bdi_3m_avg,bdi_6m_avg,bdi_12m_avg,bdi_12m_volatility,coal_price,coal_1m_change,coal_3m_avg,coal_6m_avg,coal_12m_avg,coal_12m_volatility,month,month_sin,month_cos,target_date,target_bdi
2011-01,1107,-666.00,1659.67,2136.00,2529.75,736.89,132.5,14.20,119.33,106.70,101.94,11.61,1,0.5000,0.8660,2011-02,1251
2011-02,1251,144.00,1377.00,1892.33,2405.83,812.59,128.4,-4.10,126.40,113.13,104.79,13.42,2,0.8660,0.5000,2011-03,1530
2011-03,1530,279.00,1296.00,1739.67,2283.50,824.65,126.1,-2.30,129.00,118.33,107.43,14.21,3,1.0000,0.0000,2011-04,1269
2011-04,1269,-261.00,1350.00,1504.83,2109.75,800.08,122.5,-3.60,125.67,122.50,109.29,14.60,4,0.8660,-0.5000,2011-05,1480
2011-05,1480,211.00,1426.33,1401.67,1893.25,550.88,119.1,-3.40,122.57,124.48,110.87,14.54,5,0.5000,-0.8660,2011-06,1413
2011-06,1413,-67.00,1387.33,1341.67,1810.50,542.15,120.1,1.00,120.57,124.78,112.70,14.21,6,0.0000,-1.0000,2011-07,1264
2011-07,1264,-149.00,1385.67,1367.83,1751.92,559.77,120.8,0.70,120.00,122.83,114.77,13.41,7,-0.5000,-0.8660,2011-08,1619
2011-08,1619,355.00,1432.00,1429.17,1660.75,479.09,120.1,-0.70,120.33,121.45,117.29,11.13,8,-0.8660,-0.5000,2011-09,1899
2011-09,1899,280.00,1594.00,1490.67,1615.17,425.21,123.1,3.00,121.33,120.95,119.64,8.91,9,-1.0000,-0.0000,2011-10,1965
2011-10,1965,66.00,1827.67,1606.67,1555.75,305.50,119.4,-3.70,120.87,120.43,121.47,5.93,10,-0.8660,0.5000,2011-11,1846
2011-11,1846,-119.00,1903.33,1667.67,1534.67,274.44,113.8,-5.60,118.77,119.55,122.02,4.78,11,-0.5000,0.8660,2011-12,1738
2011-12,1738,-108.00,1849.67,1721.83,1531.75,272.06,111.6,-2.20,114.93,118.13,121.46,5.52,12,-0.0000,1.0000,2012-01,680
2012-01,680,-1058.00,1421.33,1624.50,1496.17,343.77,116.5,4.90,113.97,117.42,120.13,4.53,1,0.5000,0.8660,2012-02,750
2012-02,750,70.00,1056.00,1479.67,1454.42,397.27,117,0.50,115.03,116.90,119.17,3.84,2,0.8660,0.5000,2012-03,934
2012-03,934,184.00,788.00,1318.83,1404.75,421.24,107.5,-9.50,113.67,114.30,117.63,4.44,3,1.0000,0.0000,2012-04,1155
2012-04,1155,221.00,946.33,1183.83,1395.25,425.46,103.6,-3.90,109.37,111.67,116.05,5.62,4,0.8660,-0.5000,2012-05,923
2012-05,923,-232.00,1004.00,1030.00,1348.83,443.68,95.8,-7.80,102.30,108.67,114.11,7.83,5,0.5000,-0.8660,2012-06,1004
2012-06,1004,81.00,1027.33,907.67,1314.75,453.05,87.2,-8.60,95.53,104.60,111.37,10.54,6,0.0000,-1.0000,2012-07,897
2012-07,897,-107.00,941.33,943.83,1284.17,467.60,88.2,1.00,90.40,99.88,108.65,11.88,7,-0.5000,-0.8660,2012-08,703
2012-08,703,-194.00,868.00,936.00,1207.83,481.27,91,2.80,88.80,95.55,106.23,12.25,8,-0.8660,-0.5000,2012-09,766
2012-09,766,63.00,788.67,908.00,1113.42,446.28,89,-2.00,89.40,92.47,103.38,11.96,9,-1.0000,-0.0000,2012-10,1026
2012-10,1026,260.00,831.67,886.50,1035.17,365.03,81.9,-7.10,87.30,88.85,100.26,12.26,10,-0.8660,0.5000,2012-11,1086
2012-11,1086,60.00,959.33,913.67,971.83,273.25,85.9,4.00,85.60,87.20,97.93,12.12,11,-0.5000,0.8660,2012-12,699
2012-12,699,-387.00,937.00,862.83,885.25,156.38,92.9,7.00,86.90,88.15,96.38,11.45,12,-0.0000,1.0000,2013-01,760
2013-01,760,61.00,848.33,840.00,891.92,149.02,92.8,-0.10,90.53,88.92,94.40,9.72,1,0.5000,0.8660,2013-02,757
2013-02,757,-3.00,738.67,849.00,892.50,148.48,94.9,2.10,93.53,89.57,92.56,6.96,2,0.8660,0.5000,2013-03,910
2013-03,910,153.00,809.00,873.00,890.50,148.07,91,-3.90,92.90,89.90,91.18,5.31,3,1.0000,0.0000,2013-04,863
2013-04,863,-47.00,843.33,845.83,866.17,124.76,87.8,-3.20,91.23,90.88,89.87,3.82,4,0.8660,-0.5000,2013-05,809
2013-05,809,-54.00,860.67,799.67,856.67,124.41,87.7,-0.10,88.83,91.18,89.19,3.40,5,0.5000,-0.8660,2013-06,1171
2013-06,1171,362.00,947.67,878.33,870.58,147.34,82.8,-4.90,86.10,89.50,88.82,3.81,6,0.0000,-1.0000,2013-07,1062
2013-07,1062,-109.00,1014.00,928.67,884.33,156.57,77.3,-5.50,82.60,86.92,87.92,4.97,7,-0.5000,-0.8660,2013-08,1132
2013-08,1132,70.00,1121.67,991.17,920.08,160.03,77,-0.30,79.03,83.93,86.75,5.70,8,-0.8660,-0.5000,2013-09,2003
2013-09,2003,871.00,1399.00,1173.33,1023.17,332.76,77.6,0.60,77.30,81.70,85.80,6.18,9,-1.0000,-0.0000,2013-10,1504
2013-10,1504,-499.00,1546.33,1280.17,1063.00,358.34,79.4,1.80,78.00,80.30,85.59,6.35,10,-0.8660,0.5000,2013-11,1821
2013-11,1821,317.00,1776.00,1448.83,1124.25,415.32,82.3,2.90,79.77,79.40,85.29,6.41,11,-0.5000,0.8660,2013-12,2277
2013-12,2277,456.00,1867.33,1633.17,1255.75,500.87,84.3,2.00,82.00,79.65,84.57,5.98,12,-0.0000,1.0000,2014-01,1110
2014-01,1110,-1167.00,1736.00,1641.17,1284.92,480.94,81.6,-2.70,82.73,80.37,83.64,5.48,1,0.5000,0.8660,2014-02,1258
2014-02,1258,148.00,1548.33,1662.17,1326.67,454.31,76.3,-5.30,80.73,80.25,82.09,4.64,2,0.8660,0.5000,2014-03,1362
2014-03,1362,104.00,1243.33,1555.33,1364.33,436.60,73.3,-3.00,77.07,79.53,80.62,4.38,3,1.0000,0.0000,2014-04,943
2014-04,943,-419.00,1187.67,1461.83,1371.00,429.44,72.8,-0.50,74.13,78.43,79.37,4.30,4,0.8660,-0.5000,2014-05,934
2014-05,934,-9.00,1079.67,1314.00,1381.42,417.02,73.7,0.90,73.27,77.00,78.20,3.74,5,0.5000,-0.8660,2014-06,850
2014-06,850,-84.00,909.00,1076.17,1354.67,439.36,71.5,-2.20,72.67,74.87,77.26,3.88,6,0.0000,-1.0000,2014-07,755
2014-07,755,-95.00,846.33,1017.00,1329.08,463.91,68.8,-2.70,71.33,72.73,76.55,4.53,7,-0.5000,-0.8660,2014-08,1147
