Year/Ports,Overseas Unloaded,Overseas Loaded,Overseas Total,Coastal Unloaded,Coastal Loaded,Coastal Total,Total Unloaded,Total Loaded,Total Traffic
1950-51,NA,NA,NA,NA,NA,NA,NA,NA,7532
1951-52,3383,4190,7573,776,1099,1875,4159,5289,9448
1952-53,2720,4686,7406,652,1502,2154,3372,6188,9560
1953-54,2139,3905,6044,629,1330,1959,2768,5235,8003
1954-55,2544,3277,5821,748,1202,1950,3292,4479,7771
1955-56,2405,3230,5635,1058,1318,2376,3463,4548,8011
1956-57,3404,3169,6573,1021,1141,2162,4425,4310,8735
1957-58,4377,3254,7631,1227,1274,2501,5604,4528,10132
1958-59,3877,2892,6769,1269,1180,2449,5146,4072,9218
1959-60,3734,3394,7128,1298,1249,2547,5032,4643,9675
1960-61,4009,2493,6502,1483,1406,2889,5492,3899,9391
1961-62,3163,2448,5611,1722,1866,3588,4885,4314,9199
1962-63,3635,2397,6032,1845,2214,4059,5480,4611,10091
1963-64,3909,2765,6674,2119,2007,4126,6028,4772,10800
1964-65,4064,3086,7150,2019,1759,3778,6083,4845,10928
1965-66,3660,3101,6761,1624,1344,2968,5284,4445,9729
1966-67,4375,3208,7583,1417,974,2391,5792,4182,9974
1967-68,3385,3238,6623,1500,755,2255,4885,3993,8878
1968-69,2703,3183,5886,1297,680,1977,4000,3863,7863
1969-70,2057,2593,4650,1342,827,2169,3399,3420,6819
1970-71,1872,2443,4315,1375,275,1650,3247,2718,5965
1971-72,3051,1869,4920,1699,675,2374,4750,2544,7294
1972-73,2371,1785,4156,1777,684,2461,4148,2469,6617
1973-74,2698,1772,4470,1192,623,1815,3890,2395,6285
1974-75,3870,1841,5711,1215,576,1791,5085,2417,7502
1975-76,3810,2019,5829,669,1165,1834,4479,3184,7663
1976-77,4222,2110,6332,639,1024,1663,4861,3134,7995
1977-78,3348,2270,5618,616,1312,1928,3964,3582,7546
1978-79,4460,1606,6066,806,1107,1913,5266,2713,7979
1979-80,5305,1419,6724,696,1101,1797,6001,2520,8521
1980-81,5983,1137,7120,1005,1147,2152,6988,2284,9272
1981-82,6323,1130,7453,440,1581,2021,6763,2711,9474
1982-83,6409,955,7364,575,2305,2880,6984,3260,10244
1983-84,6355,760,7115,509,2390,2899,6864,3150,10014
1984-85,6370,926,7296,609,2363,2972,6979,3289,10268
1985-86,7841,823,8664,816,2648,3464,8657,3471,12128
1986-87,7154,864,8018,1038,3016,4054,8192,3880,12072
1987-88,7717,848,8565,1119,3387,4506,8836,4235,13071
1988-89,8545,825,9370,1150,3703,4853,9695,4528,14223
1989-90,8701,997,9698,1055,3936,4991,9756,4933,14689
1990-91,9366,1006,10372,1050,3531,4581,10416,4537,14953
1991-92,10125,1123,11248,1128,3624,4752,11253,4747,16000
1992-93,11017,1366,12383,1898,4056,5954,12915,5422,18337
1993-94,10261,1676,11937,1956,4603,6559,12217,6279,18496
1994-95,11600,1555,13155,2482,4898,7380,14082,6453,20535
1995-96,12283,1822,14105,2832,4578,7410,15115,6400,21515
1996-97,13505,1906,15411,2723,4990,7713,16228,6896,23124
1997-98,16757,2247,19004,2902,6251,9153,19659,8498,28157
1998-99,18987,1707,20694,2576,6117,8693,21563,7824,29387
1999-00,22350,1803,24153,2586,4287,6873,24936,6090,31026
2000-01,20254,2405,22659,2925,4416,7341,23179,6821,30000
2001-02,20697,3740,24437,2275,3691,5966,22972,7431,30403
2002-03,22089,5252,27341,4371,4092,8463,26460,9344,35804
2003-04,25580,7134,32714,4656,3890,8546,30236,11024,41260
2004-05,29298,8788,38086,3908,4213,8121,33206,13001,46207
2005-06,32346,11679,44025,4392,4726,9118,36738,16405,53143
2006-07,34594,12853,47447,3721,3882,7603,38315,16735,55050
2007-08,35761,15151,50912,3280,3137,6417,39041,18288,57329
2008-09,32920,14267,47187,3753,3280,7033,36673,17547,54220
2009-10,25577,13757,39334,4274,2815,7089,29851,16572,46423
2010-11,25734,13654,39388,4781,3376,8157,30515,17030,47545
2011-12,24409,11428,35837,3559,3852,7411,27968,15280,43248
2012-13,24528,9132,33660,2489,3779,6268,27017,12911,39928
2013-14,25073,10327,35400,2351,3635,5986,27424,13962,41386
2014-15 ,31875,6936,38811,4374,3108,7482,36249,10044,46293
2015-16 ,35293,7689,42982,4084,3223,7307,39377,10912,50289
2016-17 ,33253,10465,43718,3754,3479,7233,37007,13944,50951
2017-18 ,36358,11100,47458,5992,4441,10433,42350,15541,57891
2018-19 ,42355,10307,52662,6869,4232,11101,49224,14539,63763
2019-20,40680,12757,53437,6894,3652,10546,47574,16409,63983
2020-21,41512,14206,55718,3763,1887,5650,45275,16093,61368
2021-22,39981,12393,52374,3810,1992,5801,43791,14384,58175
2022-23,50117,10199,60316,3472,1871,5343,53589,12070,65659
2023-24,51514,10888,62402,2858,1186,4043,54372,12074,66445
2024-25,47229,11198,58427,3652,1871,5524,50881,13069,63950
